GENESIS-Tabelle: 31121-0004
Baufertigstellungen neuer Gebäude: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;
Gebäudeart, Energieverwendung, Energieart;;;;;;;;;;;;;;;;;;;
Statistik der Baufertigstellungen;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Neue Gebäude (Anzahl);;;;;;;;;;;;;;;;;;;
;;;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart
;;;Wohngebäude;Wohngebäude mit 1 Wohnung;Wohngebäude mit 2 Wohnungen;Wohngebäude mit 3 oder mehr Wohnungen;Wohnheime;Wohngebäude mit Eigentumswohnungen;Nichtwohngebäude;Anstaltsgebäude;Büro- und Verwaltungsgebäude;Landwirtschaftliche Betriebsgebäude;Nichtlandwirtschaftliche Betriebsgebäude;Fabrik- und Werkstattgebäude;Handelsgebäude;Warenlagergebäude;Hotels und Gaststätten;Sonstige Nichtwohngebäude;Ausgewählte Infrastrukturgebäude
2015;Zur Warmwasserbereitung verwendete sekund. Energie;Holz;2103;1767;223;112;1;50;73;5;8;9;43;18;3;18;1;8;14
2015;Zur Warmwasserbereitung verwendete sekund. Energie;Biogas/Biomethan;66;40;5;21;-;7;16;1;-;1;9;4;-;4;-;5;5
2015;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Biomasse;51;42;3;6;-;1;8;1;1;1;5;2;1;2;-;-;1
2015;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Energie;491;351;31;108;1;76;192;8;16;7;124;44;29;25;12;37;50
2015;Zur Warmwasserbereitung verwendete sekund. Energie;Keine Energie;55549;43716;4745;6952;136;4276;22551;356;1250;6183;12837;2734;1046;5182;301;1925;2660
2016;Zur Heizung verwendete primäre Energie;Öl;1102;846;164;78;14;30;383;11;32;16;272;123;36;65;24;52;67
2016;Zur Heizung verwendete primäre Energie;Gas;58232;46500;4739;6696;297;3616;6263;240;790;186;4039;1521;846;1155;207;1008;1319
2016;Zur Heizung verwendete primäre Energie;Strom;946;768;74;55;49;20;548;13;58;24;342;128;39;112;25;111;160
2016;Zur Heizung verwendete primäre Energie;Fernwärme/Fernkälte;7812;4727;421;2567;97;1520;1424;97;276;36;638;242;108;142;84;377;485
2016;Zur Heizung verwendete primäre Energie;Geothermie;7482;6108;679;686;9;402;347;4;106;8;161;66;24;39;11;68;70
2016;Zur Heizung verwendete primäre Energie;Umweltthermie;27537;23790;2427;1299;21;830;1188;62;258;15;675;243;220;151;27;178;244
2016;Zur Heizung verwendete primäre Energie;Solarthermie;600;465;77;57;1;19;50;1;7;4;32;10;13;4;2;6;6
2016;Zur Heizung verwendete primäre Energie;Holz;5115;3713;589;788;25;504;762;28;52;110;471;219;31;130;29;101;127
2016;Zur Heizung verwendete primäre Energie;Biogas/Biomethan;278;165;30;67;16;46;82;4;11;15;44;26;2;10;3;8;22
2016;Zur Heizung verwendete primäre Energie;Sonstige Biomasse;384;272;35;77;-;46;50;4;5;6;27;8;3;10;4;8;14
2016;Zur Heizung verwendete primäre Energie;Sonstige Energie;389;288;33;67;1;50;175;3;16;17;121;45;33;33;6;18;21
2016;Zur Heizung verwendete primäre Energie;Keine Energie;113;101;11;-;1;1;13130;7;7;5019;7745;719;77;3688;3;352;516
2016;Zur Heizung verwendete sekundäre Energie;Öl;34;28;5;1;-;1;17;1;1;1;13;4;1;5;2;1;2
2016;Zur Heizung verwendete sekundäre Energie;Gas;848;515;74;248;11;174;230;12;43;6;129;61;31;24;7;40;52
2016;Zur Heizung verwendete sekundäre Energie;Strom;6495;5674;396;414;11;220;514;39;71;11;316;114;85;86;14;77;125
2016;Zur Heizung verwendete sekundäre Energie;Fernwärme/Fernkälte;89;57;5;26;1;14;21;1;2;-;10;5;1;3;1;8;11
2016;Zur Heizung verwendete sekundäre Energie;Geothermie;270;185;30;55;-;26;47;1;21;-;19;8;2;5;1;6;10
2016;Zur Heizung verwendete sekundäre Energie;Umweltthermie;937;726;68;138;5;76;192;4;31;2;124;32;49;27;9;31;36
2016;Zur Heizung verwendete sekundäre Energie;Solarthermie;18209;13815;1761;2579;54;1454;980;31;146;20;595;224;132;136;49;188;215
2016;Zur Heizung verwendete sekundäre Energie;Holz;17128;14898;1721;499;10;291;402;21;40;26;254;103;32;73;18;61;78
2016;Zur Heizung verwendete sekundäre Energie;Biogas/Biomethan;104;51;7;42;4;8;26;2;1;7;10;5;-;1;2;6;8
2016;Zur Heizung verwendete sekundäre Energie;Sonstige Biomasse;64;44;9;11;-;2;8;-;2;-;5;5;-;-;-;1;2
2016;Zur Heizung verwendete sekundäre Energie;Sonstige Energie;543;376;22;136;9;87;241;14;32;6;145;57;38;29;14;44;60
2016;Zur Heizung verwendete sekundäre Energie;Keine Energie;65269;51374;5181;8288;426;4731;21724;348;1228;5377;12947;2732;1061;5150;308;1824;2452
2016;Zur Warmwasserbereitung verwendete primäre Energie;Öl;798;610;124;52;12;22;262;9;25;10;180;89;23;33;17;38;50
2016;Zur Warmwasserbereitung verwendete primäre Energie;Gas;46456;36660;3797;5722;277;3102;4800;225;624;112;3036;1201;611;815;177;803;1068
2016;Zur Warmwasserbereitung verwendete primäre Energie;Strom;1613;1192;129;234;58;83;1962;27;300;66;1199;365;294;379;57;370;427
2016;Zur Warmwasserbereitung verwendete primäre Energie;Fernwärme/Fernkälte;7642;4633;401;2512;96;1496;1102;90;206;25;483;174;91;93;75;298;396
2016;Zur Warmwasserbereitung verwendete primäre Energie;Geothermie;7038;5780;627;623;8;366;247;3;72;6;120;52;18;29;8;46;46
2016;Zur Warmwasserbereitung verwendete primäre Energie;Umweltthermie;26399;22878;2308;1191;22;778;945;61;207;13;531;198;168;114;23;133;195
2016;Zur Warmwasserbereitung verwendete primäre Energie;Solarthermie;11933;10057;995;865;16;465;297;8;52;9;171;59;37;46;14;57;63
2016;Zur Warmwasserbereitung verwendete primäre Energie;Holz;4477;3205;501;747;24;489;515;25;31;77;317;156;22;91;15;65;94
2016;Zur Warmwasserbereitung verwendete primäre Energie;Biogas/Biomethan;288;172;32;68;16;47;66;5;10;11;34;22;2;4;3;6;18
2016;Zur Warmwasserbereitung verwendete primäre Energie;Sonstige Biomasse;345;246;28;71;-;43;38;4;3;4;22;6;3;7;4;5;11
2016;Zur Warmwasserbereitung verwendete primäre Energie;Sonstige Energie;364;290;13;60;1;51;113;4;8;12;74;27;16;24;4;15;14
2016;Zur Warmwasserbereitung verwendete primäre Energie;Keine Energie;2637;2020;324;292;1;142;14055;13;80;5111;8400;1001;147;3904;28;451;669
2016;Zur Warmwasserbereitung verwendete sekund. Energie;Öl;91;79;7;4;1;-;14;1;1;1;8;2;1;3;2;3;3
2016;Zur Warmwasserbereitung verwendete sekund. Energie;Gas;8909;7431;691;775;12;479;292;11;52;5;163;58;46;38;10;61;73
2016;Zur Warmwasserbereitung verwendete sekund. Energie;Strom;7752;6789;480;449;34;237;652;37;115;17;374;141;106;86;20;109;155
2016;Zur Warmwasserbereitung verwendete sekund. Energie;Fernwärme/Fernkälte;105;66;9;30;-;16;18;2;2;-;8;5;-;1;2;6;9
2016;Zur Warmwasserbereitung verwendete sekund. Energie;Geothermie;398;285;44;69;-;32;27;1;5;-;13;6;1;2;1;8;12
2016;Zur Warmwasserbereitung verwendete sekund. Energie;Umweltthermie;1310;1042;125;139;4;70;122;4;23;2;68;16;25;14;6;25;30
2016;Zur Warmwasserbereitung verwendete sekund. Energie;Solarthermie;33142;26600;2940;3507;95;1871;1333;63;202;21;783;297;155;198;60;264;325
