GENESIS-Tabelle: 31111-0008
Baugenehmigungen neuer Gebäude: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;
Gebäudeart, Energieverwendung, Energieart;;;;;;;;;;;;;;;;;;;
Statistik der Baugenehmigungen;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Neue Gebäude (Anzahl);;;;;;;;;;;;;;;;;;;
;;;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart
;;;Wohngebäude;Wohngebäude mit 1 Wohnung;Wohngebäude mit 2 Wohnungen;Wohngebäude mit 3 oder mehr Wohnungen;Wohnheime;Wohngebäude mit Eigentumswohnungen;Nichtwohngebäude;Anstaltsgebäude;Büro- und Verwaltungsgebäude;Landwirtschaftliche Betriebsgebäude;Nichtlandwirtschaftliche Betriebsgebäude;Fabrik- und Werkstattgebäude;Handelsgebäude;Warenlagergebäude;Hotels und Gaststätten;Sonstige Nichtwohngebäude;Ausgewählte Infrastrukturgebäude
2013;Zur Heizung verwendete primäre Energie;Sonstige Biomasse;403;268;59;74;2;42;65;2;6;11;35;18;.;.;3;11;17
2013;Zur Heizung verwendete primäre Energie;Sonstige Energie;287;209;20;57;1;20;122;2;16;10;78;39;.;.;3;16;19
2013;Zur Heizung verwendete primäre Energie;Keine Energie;162;148;10;4;-;2;15488;5;10;6590;8465;836;.;.;10;418;637
2013;Zur Heizung verwendete sekundäre Energie;Öl;48;40;3;5;-;-;30;-;4;3;19;8;.;.;4;4;6
2013;Zur Heizung verwendete sekundäre Energie;Gas;798;499;61;232;6;125;271;9;43;11;161;72;.;.;11;47;57
2013;Zur Heizung verwendete sekundäre Energie;Strom;6277;5542;400;326;9;184;533;15;80;15;312;137;.;.;20;111;133
2013;Zur Heizung verwendete sekundäre Energie;Fernwärme/Fernkälte;62;39;5;18;-;13;22;1;4;2;11;2;.;.;2;4;6
2013;Zur Heizung verwendete sekundäre Energie;Geothermie;320;208;48;64;-;41;63;2;23;-;29;14;.;.;4;9;13
2013;Zur Heizung verwendete sekundäre Energie;Umweltthermie;876;694;80;100;2;60;186;3;31;2;122;38;.;.;12;28;36
2013;Zur Heizung verwendete sekundäre Energie;Solarthermie;20061;15243;1985;2808;25;1581;1144;50;199;30;629;251;.;.;51;236;285
2013;Zur Heizung verwendete sekundäre Energie;Holz;19228;16601;1990;627;10;341;524;17;56;60;323;126;.;.;38;68;84
2013;Zur Heizung verwendete sekundäre Energie;Biogas/Biomethan;111;62;9;40;-;23;38;2;5;6;17;11;.;.;2;8;11
2013;Zur Heizung verwendete sekundäre Energie;Sonstige Biomasse;60;55;3;2;-;-;16;-;3;1;8;4;.;.;-;4;6
2013;Zur Heizung verwendete sekundäre Energie;Sonstige Energie;406;273;34;98;1;59;272;9;36;10;164;87;.;.;8;53;68
2013;Zur Heizung verwendete sekundäre Energie;Keine Energie;65044;50574;5609;8711;150;5314;25512;346;1435;7108;14218;3004;.;.;402;2405;3107
2013;Zur Warmwasserbereitung verwendete primäre Energie;Öl;953;731;140;82;-;26;391;13;45;20;244;106;.;.;19;69;86
2013;Zur Warmwasserbereitung verwendete primäre Energie;Gas;46763;36551;4167;5943;102;3299;5710;208;733;220;3475;1327;.;.;269;1074;1324
2013;Zur Warmwasserbereitung verwendete primäre Energie;Strom;1771;1406;146;215;4;87;2166;37;374;68;1233;409;.;.;64;454;531
2013;Zur Warmwasserbereitung verwendete primäre Energie;Fernwärme/Fernkälte;8874;5676;434;2722;42;1762;1450;128;281;34;548;181;.;.;105;459;591
2013;Zur Warmwasserbereitung verwendete primäre Energie;Geothermie;8706;7111;865;723;7;398;405;7;109;9;184;77;.;.;16;96;104
2013;Zur Warmwasserbereitung verwendete primäre Energie;Umweltthermie;26680;22939;2530;1199;12;754;953;14;210;22;539;193;.;.;22;168;186
2013;Zur Warmwasserbereitung verwendete primäre Energie;Solarthermie;12484;10404;1070;1002;8;575;434;15;77;17;234;87;.;.;20;91;99
2013;Zur Warmwasserbereitung verwendete primäre Energie;Holz;6149;4410;765;952;22;744;811;24;70;129;472;226;.;.;29;116;153
2013;Zur Warmwasserbereitung verwendete primäre Energie;Biogas/Biomethan;269;164;37;65;3;34;93;4;2;20;56;25;.;.;4;11;22
2013;Zur Warmwasserbereitung verwendete primäre Energie;Sonstige Biomasse;388;253;57;76;2;43;53;2;5;5;30;17;.;.;3;11;17
2013;Zur Warmwasserbereitung verwendete primäre Energie;Sonstige Energie;254;185;16;52;1;19;138;2;13;22;80;44;.;.;3;21;22
2013;Zur Warmwasserbereitung verwendete primäre Energie;Keine Energie;-;-;-;-;-;-;16007;-;-;6682;8918;1062;.;.;-;407;677
2013;Zur Warmwasserbereitung verwendete sekund. Energie;Öl;121;88;16;17;-;6;28;-;6;2;17;6;.;.;2;3;5
2013;Zur Warmwasserbereitung verwendete sekund. Energie;Gas;8767;7056;686;1013;12;575;370;21;50;10;207;94;.;.;14;82;103
2013;Zur Warmwasserbereitung verwendete sekund. Energie;Strom;7165;6303;496;359;7;201;702;18;124;27;378;172;.;.;24;155;180
2013;Zur Warmwasserbereitung verwendete sekund. Energie;Fernwärme/Fernkälte;590;213;56;318;3;118;57;4;14;-;23;5;.;.;7;16;20
2013;Zur Warmwasserbereitung verwendete sekund. Energie;Geothermie;524;378;64;82;-;47;49;2;14;-;19;6;.;.;3;14;18
2013;Zur Warmwasserbereitung verwendete sekund. Energie;Umweltthermie;1493;1219;154;118;2;81;138;3;16;4;89;33;.;.;8;26;28
2013;Zur Warmwasserbereitung verwendete sekund. Energie;Solarthermie;34666;27553;3316;3757;40;2084;1530;74;241;38;845;332;.;.;75;332;405
2013;Zur Warmwasserbereitung verwendete sekund. Energie;Holz;2578;2142;282;151;3;62;97;3;10;11;61;27;.;.;5;12;17
2013;Zur Warmwasserbereitung verwendete sekund. Energie;Biogas/Biomethan;102;66;5;31;-;20;22;2;2;2;10;4;.;.;2;6;7
2013;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Biomasse;49;45;2;2;-;-;9;-;2;1;5;2;.;.;-;1;2
2013;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Energie;464;300;35;128;1;78;256;15;30;13;134;68;.;.;10;64;86
2013;Zur Warmwasserbereitung verwendete sekund. Energie;Keine Energie;56772;44467;5115;7055;135;4469;25353;312;1410;7140;14225;3005;.;.;404;2266;2941
2014;Zur Heizung verwendete primäre Energie;Öl;1010;756;162;91;1;29;449;12;41;22;313;139;.;.;16;61;79
2014;Zur Heizung verwendete primäre Energie;Gas;59425;46900;4942;7444;139;4201;6543;236;884;205;4175;1609;.;.;219;1043;1380
2014;Zur Heizung verwendete primäre Energie;Strom;1007;874;82;48;3;23;584;23;72;25;343;123;.;.;18;121;166
2014;Zur Heizung verwendete primäre Energie;Fernwärme/Fernkälte;8632;5365;383;2816;68;1776;1617;99;309;27;698;265;.;.;94;484;582
2014;Zur Heizung verwendete primäre Energie;Geothermie;7444;6073;682;681;8;384;408;3;122;11;197;72;.;.;16;75;80
2014;Zur Heizung verwendete primäre Energie;Umweltthermie;26353;22575;2463;1302;13;762;1264;62;265;25;708;246;.;.;38;204;283
