GENESIS-Tabelle: 71141-0001
Rechnungsergebnisse des öffentlichen Gesamthaushalts;;;;;;;;;
(Ausgaben): Deutschland, Jahre, Körperschaftsgruppen,;;;;;;;;;
Ausgabearten;;;;;;;;;
Rechnungsergebnisse d.öffentlichen Gesamthaushalts;;;;;;;;;
Deutschland;;;;;;;;;
Ausgaben der öffentlichen Haushalte (Mill. EUR);;;;;;;;;
;;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen
;;Bund;Sondervermögen des Bundes;EU-Anteile;Sozialversicherung;Länder;Gemeinden / Gemeindeverbände;Zweckverbände;Insgesamt
Laufende Zuweisungen an öffentlichen Bereich;2004;124658;1607;-;14436;51669;37139;513;230023
Laufende Zuweisungen an öffentlichen Bereich;2005;125730;429;-;21987;55557;36077;589;240369
Laufende Zuweisungen an öffentlichen Bereich;2006;127383;252;-;13266;57267;36077;278;234523
Laufende Zuweisungen an öffentlichen Bereich;2007;133328;2180;-;12139;63074;37616;266;248603
Laufende Zuweisungen an öffentlichen Bereich;2008;133561;237;-;16953;67574;40282;543;259151
Laufende Zuweisungen an öffentlichen Bereich;2009;144330;87;-;15035;66837;42759;723;269771
Laufende Zuweisungen an öffentlichen Bereich;2010;164320;82;-;15204;65357;43526;489;288977
Laufende Zuweisungen an öffentlichen Bereich;2011;161536;114;-;15326;69775;43133;337;290221
Laufende Zuschüsse an andere Bereiche;1992;42211;352;17595;202650;22835;27163;112;312919
Laufende Zuschüsse an andere Bereiche;1993;44734;330;18884;223861;22610;31490;134;342042
Laufende Zuschüsse an andere Bereiche;1994;44495;2244;20952;232424;22486;34512;233;357347
Laufende Zuschüsse an andere Bereiche;1995;47893;2037;20533;248996;22695;38120;273;380547
Laufende Zuschüsse an andere Bereiche;1996;38321;2765;20212;261027;24437;37344;755;384861
Laufende Zuschüsse an andere Bereiche;1997;36491;1753;21249;266083;25098;35246;883;386803
Laufende Zuschüsse an andere Bereiche;1998;36552;2583;21582;262918;28115;35677;979;388406
Laufende Zuschüsse an andere Bereiche;1999;39502;2246;20286;269218;28548;35878;1036;396712
Laufende Zuschüsse an andere Bereiche;2000;36610;894;21791;275844;28703;36874;1168;401884
Laufende Zuschüsse an andere Bereiche;2001;39691;632;19689;285437;32235;38239;1171;417093
Laufende Zuschüsse an andere Bereiche;2002;42519;365;17628;300089;34740;39986;1190;436517
Laufende Zuschüsse an andere Bereiche;2003;42032;210;20336;302933;36349;42102;1296;445257
Laufende Zuschüsse an andere Bereiche;2004;43036;143;18977;301330;36593;44386;1449;445914
Laufende Zuschüsse an andere Bereiche;2005;48785;715;21036;295512;34234;47730;1420;449431
Laufende Zuschüsse an andere Bereiche;2006;49234;776;21181;289117;37890;49565;1044;448807
Laufende Zuschüsse an andere Bereiche;2007;47576;679;21374;284451;37212;51357;1040;443689
Laufende Zuschüsse an andere Bereiche;2008;55499;948;22414;283030;38547;52805;856;454099
Laufende Zuschüsse an andere Bereiche;2009;56878;1150;19832;299137;41794;55935;777;475502
Laufende Zuschüsse an andere Bereiche;2010;58408;1454;23049;301449;43740;58189;891;487181
Laufende Zuschüsse an andere Bereiche;2011;54709;1575;23348;297350;44501;60258;743;482484
Schuldendiensthilfen an öffentlichen Bereich;1992;6676;-;-;-;152;43;1;6872
Schuldendiensthilfen an öffentlichen Bereich;1993;6139;-;-;-;98;44;1;6282
Schuldendiensthilfen an öffentlichen Bereich;1994;9241;-;-;-;85;49;1;9376
Schuldendiensthilfen an öffentlichen Bereich;1995;20678;-;-;-;112;50;1;20842
Schuldendiensthilfen an öffentlichen Bereich;1996;22479;-;-;-;117;51;1;22647
Schuldendiensthilfen an öffentlichen Bereich;1997;18895;-;-;-;120;50;1;19065
Schuldendiensthilfen an öffentlichen Bereich;1998;25931;-;-;-;85;37;1;26053
Schuldendiensthilfen an öffentlichen Bereich;1999;8400;-;-;-;91;30;0;8521
Schuldendiensthilfen an öffentlichen Bereich;2000;4022;-;-;-;100;27;1;4149
Schuldendiensthilfen an öffentlichen Bereich;2001;8173;-;-;-;76;27;1;8277
Schuldendiensthilfen an öffentlichen Bereich;2002;10225;-;-;-;106;27;1;10358
Schuldendiensthilfen an öffentlichen Bereich;2003;4271;-;-;-;146;26;1;4444
Schuldendiensthilfen an öffentlichen Bereich;2004;2357;-;-;-;149;24;0;2531
Schuldendiensthilfen an öffentlichen Bereich;2005;177;-;-;-;180;24;1;381
Schuldendiensthilfen an öffentlichen Bereich;2006;130;-;-;-;173;23;1;328
Schuldendiensthilfen an öffentlichen Bereich;2007;895;-;-;-;179;29;1;1104
Schuldendiensthilfen an öffentlichen Bereich;2008;929;-;-;-;184;24;2;1138
Schuldendiensthilfen an öffentlichen Bereich;2009;121;-;-;-;112;24;1;257
Schuldendiensthilfen an öffentlichen Bereich;2010;718;-;-;-;127;23;0;868
Schuldendiensthilfen an öffentlichen Bereich;2011;42;-;-;-;473;23;1;538
Schuldendiensthilfen an andere Bereiche;1992;1262;-;-;0;1670;105;1;3038
Schuldendiensthilfen an andere Bereiche;1993;1409;-;-;0;1801;96;0;3306
Schuldendiensthilfen an andere Bereiche;1994;1598;-;-;7;2789;97;0;4492
Schuldendiensthilfen an andere Bereiche;1995;1746;-;-;3;2467;97;0;4313
Schuldendiensthilfen an andere Bereiche;1996;1835;-;-;3;2321;106;0;4264
Schuldendiensthilfen an andere Bereiche;1997;1769;-;-;2;2513;119;0;4403
Schuldendiensthilfen an andere Bereiche;1998;1693;-;-;2;2583;137;2;4417
Schuldendiensthilfen an andere Bereiche;1999;1697;-;-;2;2512;135;1;4346
Schuldendiensthilfen an andere Bereiche;2000;1540;-;-;2;2630;143;0;4315
Schuldendiensthilfen an andere Bereiche;2001;1268;23;-;1;2470;122;0;3885
Schuldendiensthilfen an andere Bereiche;2002;1102;1;-;1;2491;126;0;3722
Schuldendiensthilfen an andere Bereiche;2003;1005;8;-;1;2174;114;1;3303
Schuldendiensthilfen an andere Bereiche;2004;1093;-;-;1;1981;105;0;3180
Schuldendiensthilfen an andere Bereiche;2005;1412;-;-;1;1780;107;1;3300
Schuldendiensthilfen an andere Bereiche;2006;1201;-;-;1;1647;106;0;2955
Schuldendiensthilfen an andere Bereiche;2007;1072;-;-;1;1582;86;0;2740
Schuldendiensthilfen an andere Bereiche;2008;925;-;-;1;1521;72;0;2518
Schuldendiensthilfen an andere Bereiche;2009;975;-;-;0;1320;72;0;2367
Schuldendiensthilfen an andere Bereiche;2010;1046;-;-;0;1033;61;0;2141
Schuldendiensthilfen an andere Bereiche;2011;1053;-;-;0;956;63;0;2072
Ausgaben der laufenden Rechnung;1992;186317;28238;17595;314869;183913;120637;3933;721593
Ausgaben der laufenden Rechnung;1993;202529;26844;18884;335282;196402;128529;4061;761745
Ausgaben der laufenden Rechnung;1994;212750;38900;20952;353598;202345;133093;4462;807632
Ausgaben der laufenden Rechnung;1995;215468;29737;20533;377328;208868;137808;4549;847707
Ausgaben der laufenden Rechnung;1996;220657;29933;20212;399664;213922;136280;4913;866798
Ausgaben der laufenden Rechnung;1997;216755;27596;21249;406751;214437;132497;4948;870101
Ausgaben der laufenden Rechnung;1998;232295;26222;21582;407230;205113;112718;3821;841201
Ausgaben der laufenden Rechnung;1999;242017;16363;20286;418277;208879;113789;3812;862515
Ausgaben der laufenden Rechnung;2000;234447;14553;21791;428545;212264;116173;3919;871393
Ausgaben der laufenden Rechnung;2001;240094;13995;19689;443642;216945;118137;3899;889232
Ausgaben der laufenden Rechnung;2002;256565;13152;17628;461638;223051;121307;4008;914371
Ausgaben der laufenden Rechnung;2003;254701;13200;20336;470645;223295;123553;4170;924160
Ausgaben der laufenden Rechnung;2004;250923;11925;18977;465218;224115;125758;4388;923803
Ausgaben der laufenden Rechnung;2005;257442;9315;21036;469548;224859;129634;4420;931515
Ausgaben der laufenden Rechnung;2006;259753;8668;21181;466209;228053;133244;3796;935582
Ausgaben der laufenden Rechnung;2007;266406;16924;21374;466140;234260;136797;3788;950361
Ausgaben der laufenden Rechnung;2008;277790;15290;22414;479923;240791;143020;3939;975759
Ausgaben der laufenden Rechnung;2009;289712;15818;19832;505280;247554;148708;4165;1009769
Ausgaben der laufenden Rechnung;2010;306713;16556;23049;511803;251354;153677;4220;1026733
Ausgaben der laufenden Rechnung;2011;298881;16788;23348;510637;259783;157296;4184;1031361
Baumaßnahmen;1992;5614;-;-;313;6511;28064;1731;42233
Baumaßnahmen;1993;5156;-;-;368;6275;27223;1942;40963
Baumaßnahmen;1994;5182;2;-;443;6308;25893;2071;39898
