GENESIS-Tabelle: 71141-0002
Rechnungsergebnisse des öffentlichen Gesamthaushalts;;;;;;;;;
(Einnahmen): Deutschland, Jahre, Körperschaftsgruppen,;;;;;;;;;
Einnahmearten;;;;;;;;;
Rechnungsergebnisse d.öffentlichen Gesamthaushalts;;;;;;;;;
Deutschland;;;;;;;;;
Einnahmen der öffentlichen Haushalte (Mill. EUR);;;;;;;;;
;;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen
;;Bund;Sondervermögen des Bundes;EU-Anteile;Sozialversicherung;Länder;Gemeinden / Gemeindeverbände;Zweckverbände;Insgesamt
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;2009;2220;3972;-978;2786;6251;7824;53;22127
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;2010;2481;4391;-1020;2742;6167;9000;53;23814
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;2011;2939;4150;-1151;3316;6308;8202;103;23868
Gebühren und sonstige laufende Einnahmen;1992;3745;313;-;1006;16179;36157;1905;59305
Gebühren und sonstige laufende Einnahmen;1993;3977;17;-;953;17197;39119;2105;63368
Gebühren und sonstige laufende Einnahmen;1994;4814;3805;-;1399;18351;41167;2262;71797
Gebühren und sonstige laufende Einnahmen;1995;4994;3531;-;1509;18780;42342;2390;73546
Gebühren und sonstige laufende Einnahmen;1996;5262;4003;-;1926;18684;41201;2255;73332
Gebühren und sonstige laufende Einnahmen;1997;5572;5901;-;1818;19143;40709;2292;75435
Gebühren und sonstige laufende Einnahmen;1998;4923;4288;-;1629;7549;20380;939;39709
Gebühren und sonstige laufende Einnahmen;1999;4941;4676;-;1795;7500;20004;870;39786
Gebühren und sonstige laufende Einnahmen;2000;4920;3502;-;2250;7255;19986;782;38695
Gebühren und sonstige laufende Einnahmen;2001;3308;3372;-;2527;7366;19632;782;36986
Gebühren und sonstige laufende Einnahmen;2002;2888;794;-;1146;6832;17951;778;30388
Gebühren und sonstige laufende Einnahmen;2003;4644;552;-;818;6955;18034;777;31779
Gebühren und sonstige laufende Einnahmen;2004;2583;761;-;831;7117;17873;806;29971
Gebühren und sonstige laufende Einnahmen;2005;5355;326;-;952;7445;17566;807;32451
Gebühren und sonstige laufende Einnahmen;2006;5553;210;-;878;6997;17808;824;32272
Gebühren und sonstige laufende Einnahmen;2007;5960;188;-;576;7176;17835;809;32544
Gebühren und sonstige laufende Einnahmen;2008;6310;296;-;304;7297;18005;787;32998
Gebühren und sonstige laufende Einnahmen;2009;7404;743;-;385;7082;18026;782;34422
Gebühren und sonstige laufende Einnahmen;2010;8065;1113;-;521;7206;18530;969;36404
Gebühren und sonstige laufende Einnahmen;2011;8259;507;-;498;7927;18823;987;37001
Einnahmen der laufenden Rechnung;1992;198226;17628;17595;318522;196355;131328;4492;750237
Einnahmen der laufenden Rechnung;1993;199971;20304;18884;344899;202639;138603;4634;779147
Einnahmen der laufenden Rechnung;1994;215407;34928;20952;361571;204555;142411;5058;826414
Einnahmen der laufenden Rechnung;1995;214783;31558;20533;380632;207722;144414;5227;858286
Einnahmen der laufenden Rechnung;1996;206524;35682;20212;400612;212995;142536;5453;865231
Einnahmen der laufenden Rechnung;1997;204237;32175;21249;415396;212936;139436;5532;876830
Einnahmen der laufenden Rechnung;1998;217270;38843;21582;416277;209766;122689;4348;862994
Einnahmen der laufenden Rechnung;1999;232567;21532;20286;430434;217939;125280;4218;891347
Einnahmen der laufenden Rechnung;2000;234282;15375;21791;435480;223765;128104;4304;902802
Einnahmen der laufenden Rechnung;2001;232475;17217;19689;444836;213561;125273;4332;890213
Einnahmen der laufenden Rechnung;2002;238000;21222;17628;458192;213989;126280;4410;896743
Einnahmen der laufenden Rechnung;2003;231439;21100;20336;466952;214201;122729;4607;895626
Einnahmen der laufenden Rechnung;2004;219445;12798;18977;467165;217458;128322;4821;891484
Einnahmen der laufenden Rechnung;2005;229416;9842;21036;467604;220954;133993;4731;902838
Einnahmen der laufenden Rechnung;2006;244776;9464;21181;488246;234357;142718;4082;959501
